Path,Bytes,Ignored,SHA256,Classification,Action,Destination,Reason
"generate_gate4b_figures.m","3129","false","29CC3AECE7F6C01265AA70B8445ED9B7684F2F8D5BC1041B4910BF013F8CAB9F","SUPERSEDED / SCRATCH","REMOVE_TO_RECOVERY","","Incomplete plotting script expects nonexistent summary fields; superseded by Gate-4D builder."
"MODEL_SPEC.md","11336","false","1839901320C8D0E9DBD61D1AF43F2A9FAEBB01D175BCDC99840EBB2BBD4A5016","FINAL / REQUIRED","STAGE","","Current accepted-state documentation; reconcile narrowly."
"plots/stage_2b_cerebellum/desktop.ini","246","true","","SUPERSEDED / SCRATCH","LEAVE_IGNORED","","OS metadata; excluded, not needed for checkpoint."
"plots/stage_2b_cerebellum/fig/01_stage2b_cerebellum_actuator_q_geometry.fig","27408","false","E02EA6A0C5A8B4C04C863D9287C7675A0929E4AB2E87A1D56A01E4BD4C331C5C","PRESENTATION / REQUIRED","STAGE","","Final reviewed Gate-4D builder or one of four canonical FIG/PNG pairs."
"plots/stage_2b_cerebellum/fig/02_stage2b_cerebellum_prospective_q_preparation.fig","26120","false","6E8B113EEC27AFD93278CF9B166C42B23070D213C1F3064D48E73096A21141E6","PRESENTATION / REQUIRED","STAGE","","Final reviewed Gate-4D builder or one of four canonical FIG/PNG pairs."
"plots/stage_2b_cerebellum/fig/03_stage2b_cerebellum_endpoint_by_preparation_duration.fig","33081","false","C0C815DCF9C97BBCD7C6B766D7022AC70840B43B93020513F5CEE64CD633A1EF","PRESENTATION / REQUIRED","STAGE","","Final reviewed Gate-4D builder or one of four canonical FIG/PNG pairs."
"plots/stage_2b_cerebellum/fig/04_stage2b_cerebellum_structural_controller_validation.fig","34566","false","94133CA8C1FC6EA1907AB96BD3EFF64F1654BD9D426718811322208FD339281A","PRESENTATION / REQUIRED","STAGE","","Final reviewed Gate-4D builder or one of four canonical FIG/PNG pairs."
"plots/stage_2b_cerebellum/fig/desktop.ini","246","true","","SUPERSEDED / SCRATCH","LEAVE_IGNORED","","OS metadata; excluded, not needed for checkpoint."
"plots/stage_2b_cerebellum/notion_preview/01_stage2b_cerebellum_actuator_q_geometry.jpg","142474","true","78B2EC603B4DF581E66BFBC08798E7978A87163FC9F47928A4A617A003DCF696","SUPERSEDED / SCRATCH","REMOVE_TO_RECOVERY","","Disposable pre-Gate-4D export, superseded by reviewed canonical pairs and current Notion uploads."
"plots/stage_2b_cerebellum/notion_preview/02_stage2b_cerebellum_prospective_q_preparation.jpg","91466","true","D912B0F57EC187BCA2EFE13BAF98AEAA3C50987B23C3271560CC907453F9C904","SUPERSEDED / SCRATCH","REMOVE_TO_RECOVERY","","Disposable pre-Gate-4D export, superseded by reviewed canonical pairs and current Notion uploads."
"plots/stage_2b_cerebellum/notion_preview/03_stage2b_cerebellum_endpoint_by_preparation_duration.jpg","91691","true","4A0E4A2FDA0654A6A73FF668D8B2EC07ED26DADDD6F2E9A3D41C336D08DF66E2","SUPERSEDED / SCRATCH","REMOVE_TO_RECOVERY","","Disposable pre-Gate-4D export, superseded by reviewed canonical pairs and current Notion uploads."
"plots/stage_2b_cerebellum/notion_preview/04_stage2b_cerebellum_structural_controller_validation.jpg","129036","true","9A5A1AA540AB40D560AE0EE7A5139E8A357203E4E040BDBDA56A94B47B87E6A5","SUPERSEDED / SCRATCH","REMOVE_TO_RECOVERY","","Disposable pre-Gate-4D export, superseded by reviewed canonical pairs and current Notion uploads."
"plots/stage_2b_cerebellum/notion_preview/desktop.ini","246","true","","SUPERSEDED / SCRATCH","REMOVE_TO_RECOVERY","","Disposable pre-Gate-4D export, superseded by reviewed canonical pairs and current Notion uploads."
"plots/stage_2b_cerebellum/png/01_stage2b_cerebellum_actuator_q_geometry.png","265173","false","FED7FD21F8B8C738C3598AD58F8AAF448E9A89D7B8C2244AA471048C32FC13E6","PRESENTATION / REQUIRED","STAGE","","Final reviewed Gate-4D builder or one of four canonical FIG/PNG pairs."
"plots/stage_2b_cerebellum/png/02_stage2b_cerebellum_prospective_q_preparation.png","249760","false","28EBA9A4198C9F10580E2CC59A53405BDEEB7EDFE375467852024DA535D944EA","PRESENTATION / REQUIRED","STAGE","","Final reviewed Gate-4D builder or one of four canonical FIG/PNG pairs."
"plots/stage_2b_cerebellum/png/03_stage2b_cerebellum_endpoint_by_preparation_duration.png","296791","false","8E33225627D56C54C89FEC96D5C78662B0CE75DDCFF23ABD6BF8710C2B3A6D56","PRESENTATION / REQUIRED","STAGE","","Final reviewed Gate-4D builder or one of four canonical FIG/PNG pairs."
"plots/stage_2b_cerebellum/png/04_stage2b_cerebellum_structural_controller_validation.png","293531","false","57F79D23A170729DE7529BF2EC580CBE879988A3E1B76D3A9ADEB5C9804E46E6","PRESENTATION / REQUIRED","STAGE","","Final reviewed Gate-4D builder or one of four canonical FIG/PNG pairs."
"plots/stage_2b_cerebellum/png/desktop.ini","246","true","","SUPERSEDED / SCRATCH","LEAVE_IGNORED","","OS metadata; excluded, not needed for checkpoint."
"plots/stage_2b_cerebellum/svg/01_stage2b_cerebellum_actuator_q_geometry.svg","321064","true","6C8247544696799DD77DD674C18B8669195E58D6476E3A3A7AF518EA25F6BC2D","SUPERSEDED / SCRATCH","REMOVE_TO_RECOVERY","","Disposable pre-Gate-4D export, superseded by reviewed canonical pairs and current Notion uploads."
"plots/stage_2b_cerebellum/svg/02_stage2b_cerebellum_prospective_q_preparation.svg","265380","true","42554FBE6D5BE9C8A88670A23991477C6EF9649041E7A078C311F9B68DA21A0A","SUPERSEDED / SCRATCH","REMOVE_TO_RECOVERY","","Disposable pre-Gate-4D export, superseded by reviewed canonical pairs and current Notion uploads."
"plots/stage_2b_cerebellum/svg/03_stage2b_cerebellum_endpoint_by_preparation_duration.svg","250218","true","C2E1217AB25D03F708C9236029C6A67B7BCC7FCB697966C3A5E3B9B9DD1ECFC1","SUPERSEDED / SCRATCH","REMOVE_TO_RECOVERY","","Disposable pre-Gate-4D export, superseded by reviewed canonical pairs and current Notion uploads."
"plots/stage_2b_cerebellum/svg/04_stage2b_cerebellum_structural_controller_validation.svg","422489","true","75C8DE0BD72BE2FF90A7085A4EB570AEA9F3139D100EF9FCD234FEBD2739EC61","SUPERSEDED / SCRATCH","REMOVE_TO_RECOVERY","","Disposable pre-Gate-4D export, superseded by reviewed canonical pairs and current Notion uploads."
"plots/stage_2b_cerebellum/svg/desktop.ini","246","true","","SUPERSEDED / SCRATCH","REMOVE_TO_RECOVERY","","Disposable pre-Gate-4D export, superseded by reviewed canonical pairs and current Notion uploads."
"README.md","6782","false","BB9D4E92204CB0D8EB91040DE4D38E460461145C026C55307737F7D48806EE09","FINAL / REQUIRED","STAGE","","Current accepted-state documentation; reconcile narrowly."
"results/stage_2b_cerebellum_gate4a_work/current/desktop.ini","246","true","","SUPERSEDED / SCRATCH","LEAVE_IGNORED","","OS metadata; excluded, not needed for checkpoint."
"results/stage_2b_cerebellum_gate4a_work/current/ensemble/desktop.ini","246","true","","SUPERSEDED / SCRATCH","LEAVE_IGNORED","","OS metadata; excluded, not needed for checkpoint."
"results/stage_2b_cerebellum_gate4a_work/current/ensemble/network_01_stage2b_kao_controller.mat","1747933","true","B1BD63518E639FDED753F2F0731C0A0E0308096B64840A4BFB3AD2C997850EBA","SUPERSEDED / SCRATCH","REMOVE_TO_RECOVERY","","Read-only MATLAB check: controllerSaved exactly equals frozen unrestricted Kao; not the accepted 13-channel controller."
"results/stage_2b_cerebellum_gate4a_work/current/ensemble/network_02_stage2b_kao_controller.mat","1747014","true","A9BBCC33B2C5C6C883691C684438F0C7F9A5FCA186338CA4EFB09D0DC834CC95","SUPERSEDED / SCRATCH","REMOVE_TO_RECOVERY","","Read-only MATLAB check: controllerSaved exactly equals frozen unrestricted Kao; not the accepted 13-channel controller."
"results/stage_2b_cerebellum_gate4a_work/current/ensemble/network_03_stage2b_kao_controller.mat","1747074","true","923AE241BD540237F34AA279C685C685549B3E1201F5FE1329FB68F2A1F502BE","SUPERSEDED / SCRATCH","REMOVE_TO_RECOVERY","","Read-only MATLAB check: controllerSaved exactly equals frozen unrestricted Kao; not the accepted 13-channel controller."
"results/stage_2b_cerebellum_gate4a_work/current/ensemble/network_04_stage2b_kao_controller.mat","1751214","true","54B5BF8A235B86E2E533F9609553F161FA96FDF5D057D402C2C0B534447D7871","SUPERSEDED / SCRATCH","REMOVE_TO_RECOVERY","","Read-only MATLAB check: controllerSaved exactly equals frozen unrestricted Kao; not the accepted 13-channel controller."
"results/stage_2b_cerebellum_gate4a_work/current/ensemble/network_05_stage2b_kao_controller.mat","1750017","true","809D94C0F932BC49E7148346BFA544249C0003F94BCE33FCCF573A55CB55E95E","SUPERSEDED / SCRATCH","REMOVE_TO_RECOVERY","","Read-only MATLAB check: controllerSaved exactly equals frozen unrestricted Kao; not the accepted 13-channel controller."
"results/stage_2b_cerebellum_gate4a_work/current/ensemble/network_06_stage2b_kao_controller.mat","1747475","true","C4905FA998D3C8426F0724ED95947AC234249B693914C56DE23F6F73962F5C6E","SUPERSEDED / SCRATCH","REMOVE_TO_RECOVERY","","Read-only MATLAB check: controllerSaved exactly equals frozen unrestricted Kao; not the accepted 13-channel controller."
"results/stage_2b_cerebellum_gate4a_work/current/ensemble/network_07_stage2b_kao_controller.mat","1749815","true","56A4FDC55A4B9BFB22DAFDF84A3D0D8A35F13810E832DF752795CE9F0DDD8B1C","SUPERSEDED / SCRATCH","REMOVE_TO_RECOVERY","","Read-only MATLAB check: controllerSaved exactly equals frozen unrestricted Kao; not the accepted 13-channel controller."
"results/stage_2b_cerebellum_gate4a_work/current/ensemble/network_08_stage2b_kao_controller.mat","1749522","true","731765D3E210DDFC9BCBF20BED9637B5396042D94528C37FE7A1A2286F15D62A","SUPERSEDED / SCRATCH","REMOVE_TO_RECOVERY","","Read-only MATLAB check: controllerSaved exactly equals frozen unrestricted Kao; not the accepted 13-channel controller."
"results/stage_2b_cerebellum_gate4a_work/current/ensemble/network_09_stage2b_kao_controller.mat","1749913","true","25A1B3A42E23846F3B890738C6F0DC994135C2F163E7B5C4DC485D194CFCB4A1","SUPERSEDED / SCRATCH","REMOVE_TO_RECOVERY","","Read-only MATLAB check: controllerSaved exactly equals frozen unrestricted Kao; not the accepted 13-channel controller."
"results/stage_2b_cerebellum_gate4a_work/current/ensemble/network_10_stage2b_kao_controller.mat","1749489","true","C2C957BBDEE34899B3998E0D09116DE770D7D14E2A4E32635093C55341EB5552","SUPERSEDED / SCRATCH","REMOVE_TO_RECOVERY","","Read-only MATLAB check: controllerSaved exactly equals frozen unrestricted Kao; not the accepted 13-channel controller."
"results/stage_2b_cerebellum_gate4a_work/current/gate4b_ensemble_results.mat","557161","true","31111A2DE3DAE6D7D49BBB2A0C38460AAA1CD9783488554AE1527C442A7D8889","PROVENANCE / RETAIN","LEAVE_IGNORED","","Historical interrupted aggregate retained as provenance only; not accepted controller validation or current output."
"results/stage_2b_cerebellum_gate4a_work/current/per_network/desktop.ini","246","true","","SUPERSEDED / SCRATCH","LEAVE_IGNORED","","OS metadata; excluded, not needed for checkpoint."
"results/stage_2b_cerebellum_gate4a_work/current/per_network/network_01_gate3_result.mat","67687734","true","772AA4E9A014919F5B2997E64DF5BB8195EEE1F9BCC2CCF53090705350A4CE09","PROVENANCE / RETAIN","LEAVE_IGNORED","","Required valid dense-performance cache consumed by the accepted audit; retain bytes and original path."
"results/stage_2b_cerebellum_gate4a_work/current/per_network/network_02_gate3_result.mat","922952","true","C7BA4CA4F9535DD8EE5B0AA6E5A805366398FCD0CFBBFB845ED99666D564D8D1","PROVENANCE / RETAIN","LEAVE_IGNORED","","Required valid dense-performance cache consumed by the accepted audit; retain bytes and original path."
"results/stage_2b_cerebellum_gate4a_work/current/per_network/network_03_gate3_result.mat","923352","true","02809679E74325C564F9ADE54FB4344133E621D3EB3E2073A5DAB524B1C58E8F","PROVENANCE / RETAIN","LEAVE_IGNORED","","Required valid dense-performance cache consumed by the accepted audit; retain bytes and original path."
"results/stage_2b_cerebellum_gate4a_work/current/per_network/network_04_gate3_result.mat","923434","true","67E758EF0FE95015907AC489CAADD8D256161CCF381A70668593207B2253E2E2","PROVENANCE / RETAIN","LEAVE_IGNORED","","Required valid dense-performance cache consumed by the accepted audit; retain bytes and original path."
"results/stage_2b_cerebellum_gate4a_work/current/per_network/network_05_gate3_result.mat","923356","true","9EA7A4138996A4A42EC9F84CF9BAD402B39E78E8B0D157B6229253FD629416CB","PROVENANCE / RETAIN","LEAVE_IGNORED","","Required valid dense-performance cache consumed by the accepted audit; retain bytes and original path."
"results/stage_2b_cerebellum_gate4a_work/current/per_network/network_06_gate3_result.mat","922381","true","DEB13EAEB0B4FFE4ECD85561920D9A3D10C7FD5A9210EEC9AFD53CDE95D6EF12","PROVENANCE / RETAIN","LEAVE_IGNORED","","Required valid dense-performance cache consumed by the accepted audit; retain bytes and original path."
"results/stage_2b_cerebellum_gate4a_work/current/per_network/network_07_gate3_result.mat","923479","true","74E2D0D18CFD92C6CDB5FC3CFBFF6F390B0D411D125EC562AF6863561E870AC9","PROVENANCE / RETAIN","LEAVE_IGNORED","","Required valid dense-performance cache consumed by the accepted audit; retain bytes and original path."
"results/stage_2b_cerebellum_gate4a_work/current/per_network/network_08_gate3_result.mat","923187","true","AE10CBA9854A3684E4A880BEC744147CC2E188C98FB5DCA8AC872FB2B630C3F8","PROVENANCE / RETAIN","LEAVE_IGNORED","","Required valid dense-performance cache consumed by the accepted audit; retain bytes and original path."
"results/stage_2b_cerebellum_gate4a_work/current/per_network/network_09_gate3_result.mat","923054","true","0D4B617698E2DC60D39FF53DD65D45A2992AA6E43EE83403F644009FE5A2EE46","PROVENANCE / RETAIN","LEAVE_IGNORED","","Required valid dense-performance cache consumed by the accepted audit; retain bytes and original path."
"results/stage_2b_cerebellum_gate4a_work/current/per_network/network_10_gate3_result.mat","923708","true","9BCB71B31485644A2AC2E13FE47E3D8D70C5314340A724AFB74C650C719CBE24","PROVENANCE / RETAIN","LEAVE_IGNORED","","Required valid dense-performance cache consumed by the accepted audit; retain bytes and original path."
"results/stage_2b_cerebellum_gate4a_work/desktop.ini","246","true","","SUPERSEDED / SCRATCH","LEAVE_IGNORED","","OS metadata; excluded, not needed for checkpoint."
"results/stage_2b_cerebellum/current/audit/desktop.ini","246","true","","SUPERSEDED / SCRATCH","LEAVE_IGNORED","","OS metadata; excluded, not needed for checkpoint."
"results/stage_2b_cerebellum/current/audit/gate4b_audit.mat","383971","true","E54186E3A2060A0DD26B16730D8D13D1BF78D53F187056098246B6C8F47FBBC2","FINAL / REQUIRED","LEAVE_IGNORED","","Accepted frozen numerical audit/controller/table payload; never stage or modify."
"results/stage_2b_cerebellum/current/desktop.ini","246","true","","SUPERSEDED / SCRATCH","LEAVE_IGNORED","","OS metadata; excluded, not needed for checkpoint."
"results/stage_2b_cerebellum/current/ensemble/desktop.ini","246","true","","SUPERSEDED / SCRATCH","LEAVE_IGNORED","","OS metadata; excluded, not needed for checkpoint."
"results/stage_2b_cerebellum/current/ensemble/network_01_stage2b_cerebellum_controller.mat","1513447","true","E70007E22011E0375FD666BF6A8CB99360803C3C87A6DE7DED014111FB9598ED","FINAL / REQUIRED","LEAVE_IGNORED","","Accepted frozen numerical audit/controller/table payload; never stage or modify."
"results/stage_2b_cerebellum/current/ensemble/network_02_stage2b_cerebellum_controller.mat","1513232","true","A6AFFCB783732ADF04829DDD12A67E5432780C3FD86950602DFE4E9FC753DB21","FINAL / REQUIRED","LEAVE_IGNORED","","Accepted frozen numerical audit/controller/table payload; never stage or modify."
"results/stage_2b_cerebellum/current/ensemble/network_03_stage2b_cerebellum_controller.mat","1511788","true","B16E7766B7BF781A1749B325A4905E86788FDD586C617AAB0CCDECC0F9794011","FINAL / REQUIRED","LEAVE_IGNORED","","Accepted frozen numerical audit/controller/table payload; never stage or modify."
"results/stage_2b_cerebellum/current/ensemble/network_04_stage2b_cerebellum_controller.mat","1512286","true","4B89C5BAB9D8F01FE986705278F95DFC8918D43B6705CEA88AC86577882FFBD2","FINAL / REQUIRED","LEAVE_IGNORED","","Accepted frozen numerical audit/controller/table payload; never stage or modify."
"results/stage_2b_cerebellum/current/ensemble/network_05_stage2b_cerebellum_controller.mat","1512081","true","10ACA06C9C31DC22A5CE5CEA23766269A4AE10B5B8C632617A267F0587E58C4C","FINAL / REQUIRED","LEAVE_IGNORED","","Accepted frozen numerical audit/controller/table payload; never stage or modify."
"results/stage_2b_cerebellum/current/ensemble/network_06_stage2b_cerebellum_controller.mat","1513183","true","2B8B5CC060C55F71CEC519F877C3BDF82C0983303F0356F082D1CC30473BEEFD","FINAL / REQUIRED","LEAVE_IGNORED","","Accepted frozen numerical audit/controller/table payload; never stage or modify."
"results/stage_2b_cerebellum/current/ensemble/network_07_stage2b_cerebellum_controller.mat","1514270","true","58ECB07E5DB3886AC2B974967899F619DD6F2E1EE7406ED594E1F87F1B9340E5","FINAL / REQUIRED","LEAVE_IGNORED","","Accepted frozen numerical audit/controller/table payload; never stage or modify."
"results/stage_2b_cerebellum/current/ensemble/network_08_stage2b_cerebellum_controller.mat","1514433","true","50540FCBA29A65EA46D330BFB7F50AE0930844B8CCD1A20EE4FA1DDF586B1483","FINAL / REQUIRED","LEAVE_IGNORED","","Accepted frozen numerical audit/controller/table payload; never stage or modify."
"results/stage_2b_cerebellum/current/ensemble/network_09_stage2b_cerebellum_controller.mat","1514094","true","14328502345A95F486B000EF59846E77149A5FD8AEF793C7E50364FF30FAAB64","FINAL / REQUIRED","LEAVE_IGNORED","","Accepted frozen numerical audit/controller/table payload; never stage or modify."
"results/stage_2b_cerebellum/current/ensemble/network_10_stage2b_cerebellum_controller.mat","1512217","true","AB035276BA7F137A972F4B877BADA597BC7AA89BA6FB37AEC5A7A9F2ACE392F4","FINAL / REQUIRED","LEAVE_IGNORED","","Accepted frozen numerical audit/controller/table payload; never stage or modify."
"results/stage_2b_cerebellum/current/stage2b_cerebellum_gate4b_complete.mat","403467","true","A277FA0046CC7443E51180F3732CD4FB921904BC6BEE6163E776DAA6D9772311","FINAL / REQUIRED","LEAVE_IGNORED","","Accepted frozen numerical audit/controller/table payload; never stage or modify."
"results/stage_2b_cerebellum/current/stage2b_cerebellum_gate4b_summary.json","380","true","CB3EE05909DE03FBE20A57BC06F23B9E5E736541EC0DC1F36B16699D72CCE676","FINAL / REQUIRED","LEAVE_IGNORED","","Accepted frozen numerical audit/controller/table payload; never stage or modify."
"results/stage_2b_cerebellum/current/tables/acceptance.csv","147","true","79191587D53EFC4E83B5AF96C126EDCB74E81F56CEB45CC128368CE8672504ED","FINAL / REQUIRED","LEAVE_IGNORED","","Accepted frozen numerical audit/controller/table payload; never stage or modify."
"results/stage_2b_cerebellum/current/tables/controllerValidation.csv","4073","true","67EE31300C499F25567A0D30554309CFC56068554BEAF3CEB49C55BE47C0CD8A","FINAL / REQUIRED","LEAVE_IGNORED","","Accepted frozen numerical audit/controller/table payload; never stage or modify."
"results/stage_2b_cerebellum/current/tables/desktop.ini","246","true","","SUPERSEDED / SCRATCH","LEAVE_IGNORED","","OS metadata; excluded, not needed for checkpoint."
"results/stage_2b_cerebellum/current/tables/effortNetwork.csv","785","true","F88A88D3FAE73167EA90B20E0FCB6E88B24447A9332C461BA67DE3D9F82E4A1F","FINAL / REQUIRED","LEAVE_IGNORED","","Accepted frozen numerical audit/controller/table payload; never stage or modify."
"results/stage_2b_cerebellum/current/tables/effortSummary.csv","1256","true","B6B228F5126665BFA89F8D137697B27BF3ECA2D15D53871DB050EA0785BDBB9C","FINAL / REQUIRED","LEAVE_IGNORED","","Accepted frozen numerical audit/controller/table payload; never stage or modify."
"results/stage_2b_cerebellum/current/tables/effortTarget.csv","6073","true","0EEBCCD04029A4890F31BD5AD4775467E1E1D2FF85B90B62EA66A3B61211F44C","FINAL / REQUIRED","LEAVE_IGNORED","","Accepted frozen numerical audit/controller/table payload; never stage or modify."
"results/stage_2b_cerebellum/current/tables/figureValidation.csv","1587","true","CF3BF4342FE58477063050EE5BCB627110FD8C82423730A29439C32F7A98B648","FINAL / REQUIRED","LEAVE_IGNORED","","Accepted frozen numerical audit/controller/table payload; never stage or modify."
"results/stage_2b_cerebellum/current/tables/frozenComparison.csv","672","true","08CC0EBB6F88839F76785DFEF3A3F0F6A5C5BB39C63409209C8E0AB639F04089","FINAL / REQUIRED","LEAVE_IGNORED","","Accepted frozen numerical audit/controller/table payload; never stage or modify."
"results/stage_2b_cerebellum/current/tables/performanceEnsemble.csv","54588","true","153F7D84CC3F5B2A609B7390F9FDB53EDC7C3394FB2245FCF653B9F71B20F7F7","FINAL / REQUIRED","LEAVE_IGNORED","","Accepted frozen numerical audit/controller/table payload; never stage or modify."
"results/stage_2b_cerebellum/current/tables/performanceNetwork.csv","93414","true","CA17B3A9D9301CACDAA2DDD5D0105F5BD0AEBD87D44F888778EB3237AC7E22E3","FINAL / REQUIRED","LEAVE_IGNORED","","Accepted frozen numerical audit/controller/table payload; never stage or modify."
"results/stage_2b_cerebellum/current/tables/t95Network.csv","610","true","6D5CF882D284BC1868791C92B79BC2A96E5E3DC341A9A34727F82B736C582DC6","FINAL / REQUIRED","LEAVE_IGNORED","","Accepted frozen numerical audit/controller/table payload; never stage or modify."
"results/stage_2b_cerebellum/current/tables/t95Summary.csv","217","true","5FE057CA436C6885E9FF1052DC23D414768F7C0F3217EA6255823F4F70565F78","FINAL / REQUIRED","LEAVE_IGNORED","","Accepted frozen numerical audit/controller/table payload; never stage or modify."
"results/stage_2b_cerebellum/current/tables/t95Target.csv","4792","true","CE2D793F51452DDFE79308A28590F1735666D2DE83293E2EAFDBF9CDB5C3E8A0","FINAL / REQUIRED","LEAVE_IGNORED","","Accepted frozen numerical audit/controller/table payload; never stage or modify."
"results/stage_2b_cerebellum/current/tables/targetValidation.csv","2440","true","54870629D0717DA42E9D3A9E6A259AB5D1E16319953B57AD8A179479E98ABA40","FINAL / REQUIRED","LEAVE_IGNORED","","Accepted frozen numerical audit/controller/table payload; never stage or modify."
"results/stage_2b_cerebellum/current/tables/upstreamVerification.csv","1704","true","0E31432CC880A14893D2EE354A8F2B5C3D38C05C6B5058E033DD145E0CBDA485","FINAL / REQUIRED","LEAVE_IGNORED","","Accepted frozen numerical audit/controller/table payload; never stage or modify."
"results/stage_2b_cerebellum/desktop.ini","246","true","","SUPERSEDED / SCRATCH","LEAVE_IGNORED","","OS metadata; excluded, not needed for checkpoint."
"run_gate4b_reconcile.m","1319","false","3B729593FAC4B4DCBB85E81F2139DCCE516C2CB2C9E775AF4C3BC3B5EF2C6F1B","SUPERSEDED / SCRATCH","REMOVE_TO_RECOVERY","","Obsolete ensemble wrapper expects nonexistent endpointError/t95 fields."
"run_stage_2b_cerebellum.m","1467","false","9A8AE1C9716501058656DC09C7986570BB5735008712B8F20CB4E47648F6F2B0","FINAL / REQUIRED","STAGE","","Unique accepted scientific root/configuration/derivation/audit path; retain."
"src/stage_2b_cerebellum/derive_stage2b_cerebellum_controller.m","5402","false","BD8C8A4DF098A2206F45DC6DCA43C5BB8825A6B51FCA5C1B51CA3CAAC09FC4E2","FINAL / REQUIRED","STAGE","","Unique accepted scientific root/configuration/derivation/audit path; retain."
"src/stage_2b_cerebellum/desktop.ini","246","true","","SUPERSEDED / SCRATCH","LEAVE_IGNORED","","OS metadata; excluded, not needed for checkpoint."
