path,bytes,sha256,disposition
"artifacts/manifests/stage3_cortical_state_feasibility/BIO_PLAN.md","7172","E87E81FF249A6F92E286371F26EFFC62C43FF8B3C4F00CDB4942EB8811A21A94","retain plan/audit/provenance"
"artifacts/manifests/stage3_cortical_state_feasibility/BIO_PRESERVATION.json","139","B4508B0555EF56100C9A79714D91280CD4F1485C00386E3D5FAD0F02B3E9F619","retain plan/audit/provenance"
"artifacts/manifests/stage3_cortical_state_feasibility/bio_preservation.ps1","1657","B338A2FF94D2E8E10D68009552145AEDAA1E3DBE9C28268D5EF8F70CCC5345DC","retain plan/audit/provenance"
"artifacts/manifests/stage3_cortical_state_feasibility/BIO_RESUME_BEFORE.csv","102151","B482FC346A9C834ACA7B1341BD6134709D605368D3481EC9C3F56A510947EDEC","retain plan/audit/provenance"
"artifacts/manifests/stage3_cortical_state_feasibility/BIO_RESUME_COMPLETION_CHECKS.json","2469","A88A8EA1BADE992F2FB9C328B6AA416D185AE272E8C5B2253BEB0DCDDB26B367","retain plan/audit/provenance"
"artifacts/manifests/stage3_cortical_state_feasibility/bio_resume_finish.ps1","1881","47261FBB52D1F2BC08CF9A5038969DA961175FA4A1870D0AE3FCB2A18EFA0FBA","retain plan/audit/provenance"
"artifacts/manifests/stage3_cortical_state_feasibility/BIO_RESUME_PLAN.md","5240","4773A704CD8B0C6089DDCFF14CED6709D7993CB41C9458F013B1F9705F461F34","retain plan/audit/provenance"
"artifacts/manifests/stage3_cortical_state_feasibility/BIO_RESUME_PRESERVATION.json","3837","5E5A641B46DEC236CE4C0F81F49024F08177C3E9FCD82260287263E8400C230E","retain plan/audit/provenance"
"artifacts/manifests/stage3_cortical_state_feasibility/bio_resume_preserve.ps1","1333","A1E1C99EDD60424857FD5F13107C604DE754199E9586BD3CCAFD42683842C4EF","retain plan/audit/provenance"
"artifacts/manifests/stage3_cortical_state_feasibility/BIO_RESUME_REPORT.md","14675","846C7922E14704CBB5ECAF8FE48D252FCB5232DF56F4C9F75F841E2FB54CEFE9","retain plan/audit/provenance"
"artifacts/manifests/stage3_cortical_state_feasibility/BIO_STOP_REPORT.md","10230","5ED2075A838133F59BE92B1D51537C6A64E9B16D078C8AFC66ECC3C927AE547D","retain plan/audit/provenance"
"figures/stage_3/stage3_bio_figures.m","12566","8E90D649FF205979960AC598BA7B8647FC914BF1B29B13FA3B261CE2880A379F","current implementation/validation/routing"
"figures/stage_3/stage3_figures.m","12330","C9B1A697CC1E4BAF28AE347F7F8E3F356B4943FF4B5C9059FC072C2B66D9310C","current implementation/validation/routing"
"figures/stage_3/stage3_gain_time_figure.m","3982","DEE4F497FA7E488AE07AB507D8C42449C76195712302D5CB6B98D150BEB69B59","current implementation/validation/routing"
"MODEL_SPEC.md","14856","11CAA972FD9071915FA7CF0795B182349BFC542A880DD9AF07BAA43294F4A058","current documentation"
"plots/stage_3/fig/diagnostic_1_feasible_solution_map.fig","375855","5D3037FBD9FD5C3D3D380837FE81521EBFEAE3AC8A5D024648669A7B7C0FAF7A","replace current figure; predecessor in Git/Notion"
"plots/stage_3/fig/diagnostic_2_component_removal.fig","266299","FC76D6C71B8FE834718BAC0441E23B98923053B606E743FC768579D16009651B","replace current figure; predecessor in Git/Notion"
"plots/stage_3/fig/result_1_preparation_and_movement.fig","341373","75F10C8425DE5ABC334907806EC08EC6A3DE3C91FB1E6EB6C27BECA6F86829DF","replace current figure; predecessor in Git/Notion"
"plots/stage_3/fig/result_2_preparatory_geometry.fig","25971","4744B7B2716C7A30684781B70AB9E3628533CDEA54163B817DE82A3610EA9D64","replace current figure; predecessor in Git/Notion"
"plots/stage_3/png/diagnostic_1_feasible_solution_map.png","228023","8CEF6404A4B646AE22A3E33FD2A48A244DBA34C4F5BAF7A1341FDDCAA77DA39A","replace current figure; predecessor in Git/Notion"
"plots/stage_3/png/diagnostic_2_component_removal.png","366901","2FE1B518DB78D09055C0A368DFB9505779BD4EE263E826CD82A98C6E58987793","replace current figure; predecessor in Git/Notion"
"plots/stage_3/png/result_1_preparation_and_movement.png","230148","0B306C51F5130FF75F3759CFD46A4E842A4E07D022FABEFAAD42B208F38DB0A0","replace current figure; predecessor in Git/Notion"
"plots/stage_3/png/result_2_preparatory_geometry.png","201894","DC35B964230906DC9BB5DA30C477906FCE56B3538612F216F247357FD831BC4A","replace current figure; predecessor in Git/Notion"
"README.md","12388","A73785D456974D727C375A5CC68317F8CDCF28D191535DE910ABA2DC32970F5B","current documentation"
"results/stage_3/current/biological_revision/controller_audit.csv","2210","1CC9C10C5A6B665D1E00C9A068CDD6D37FF88F4118FDD4DB27D0453702D5645B","retain compact scientific output/provenance"
"results/stage_3/current/biological_revision/controllers.mat","14082074","59141C7EABF9091D53C1046C0B783F345EE1F2B1C9AD583F4A93B146AA92EE3B","retain compact scientific output/provenance"
"results/stage_3/current/biological_revision/frozen_geometry_audit.csv","505","AFC7261BDEB7F8F3808CC6E0B6E433D6A2F1C9AF480A27E31B5D12019BF62E8D","retain compact scientific output/provenance"
"results/stage_3/current/biological_revision/independent_audit.json","386","31049B58CDA3F6D3C0919CAEC53A35DC10817D37BFBBCFC4CC37ED534461CC1D","retain compact scientific output/provenance"
"results/stage_3/current/biological_revision/primary_gate.json","2081","0FE0C42AF3A82A1EF5145E83774B487FAB7E90B8CD21F97E71DBF531CEFFCC55","retain compact scientific output/provenance"
"results/stage_3/current/biological_revision/primary_gate.mat","1123","9D42FAC8FFB613703E093980DD466065FD537AE9776D181F2B63D14B4857D90A","retain compact scientific output/provenance"
"results/stage_3/current/biological_revision/resume_02/feasibility_map.csv","557441","D12EBBDA2C0739FD95B0F1E5268A7E83DB0711DCF5EF11DDE56F4CECDD8282EB","retain compact scientific output/provenance"
"results/stage_3/current/biological_revision/resume_02/figure_paths.json","1079","2E281CEE19A055BE409D9A5DE3060D8FCA8055B01B0A26C5FBB6C1CFCDCC3388","retain compact scientific output/provenance"
"results/stage_3/current/biological_revision/resume_02/independent_audit.json","310","CB30E98216421B7DEB989E65C88722BC8E0AF2684EC57DDAB17CC023AFC19EE8","retain compact scientific output/provenance"
"results/stage_3/current/biological_revision/resume_02/map_complete.json","242","845269CB8D75D30146C5000818A656FC73459C980BE28596B74899555688F375","retain compact scientific output/provenance"
"results/stage_3/current/biological_revision/resume_02/movement_summary.csv","454","8ACCBAFA57B9B0F0BC0B418922AB5426B0E0019578B7A39E96B828E7528656A7","retain compact scientific output/provenance"
"results/stage_3/current/biological_revision/resume_02/movement.mat","5259564","52D11063D26CF614195A8BA4AFEE1A9EF0EF3D78DAA0B842793A1A2824842B98","retain compact scientific output/provenance"
"results/stage_3/current/biological_revision/resume_02/population_complete.json","163","4DFD1582CE924F2D514A1ADDB82AE3E2CEA7F51DE2CBA3706376258686759B60","retain compact scientific output/provenance"
"results/stage_3/current/biological_revision/resume_02/population.mat","24541640","D83468BC6B13263AB2157C26D731E3BE98D84FCA45DA1A56C57DB7818D22BB95","retain compact scientific output/provenance"
"results/stage_3/current/biological_revision/resume_02/preparation_bounds.csv","8558","EF1482E819D903A93F70ACBF5EB8A183D6261B5AC2AA12ED06E490AAA1851206","retain compact scientific output/provenance"
"results/stage_3/current/biological_revision/resume_02/preparation_complete.json","280","7E714D6B5D76DA69AFCA3AA8D3FF46EF5B38DDD393ADBFCED91AFA55FD53065A","retain compact scientific output/provenance"
"results/stage_3/current/biological_revision/resume_02/primary_population.csv","1716","4DADE1C5E4227C852CFBDC4D58BCBDF3B94D5606D4B6D960A00881B86D59C429","retain compact scientific output/provenance"
"results/stage_3/current/biological_revision/resume_02/publication_check.json","138","3E4ADBA311A3ACEE1E7CA73B2A892B42484FFB888A3F5FC95DBF4CE30766CC40","retain compact scientific output/provenance"
"results/stage_3/current/biological_revision/resume_02/statistics.json","1226","93F79A269C3F67AA201492364E86066097303DFBCD6C508287F76DCBE0115EB9","retain compact scientific output/provenance"
"results/stage_3/current/biological_revision/resume_02/summary.json","10574","CAE4906AD5EF7EF5985968D92C6CBEE70E00A0E0D08D67CA1C3A4897B5CA8525","retain compact scientific output/provenance"
"results/stage_3/current/biological_revision/resume_02/target_readiness.csv","109166","A9EBF2B7010C0F432D7A46EF354946E9C9CE9006CADE49EE0A74F7BC5C2D0B0B","retain compact scientific output/provenance"
"results/stage_3/current/biological_revision/target_readiness.csv","3797","B03367A3AFEC56FC4A228B0F7843A73222B08109440096BD2F83371A81499845","retain compact scientific output/provenance"
"run_stage_3_finalize.m","2757","4E90028366D2431D5275DB4CA53A1F77042B09DA0872E443FF6811109A5B4B14","current implementation/validation/routing"
"run_stage_3.m","1389","502EE8CF428377D7CCAF3C2011448EF3342B433372BC218282C21C184F86CFED","current implementation/validation/routing"
"src/stage_3/stage3_bio_grid_prepare.m","1878","1E7230869C4C0DC8FC236F739BCC4291E6459C1BEF30C4377923D8791A042A12","current implementation/validation/routing"
"src/stage_3/stage3_biological_controller.m","3269","5B3540A913A2749A6ED0E165BEE703FFCD69341151ED4A6ADC563D5721E0AC53","retain candidate implementation and provenance"
"src/stage_3/stage3_biological_prepare.m","2616","F23AE74FDA8CA1C3CB974A3030A220F847E89DD863CEB97A3DF8C656B6351998","retain candidate implementation and provenance"
