"path","bytes","sha256","category","action","reason"
"analysis/paper_ready/stabilization_eta/eta_audit.m","12735","63DEF89AAE7200A9E46627D20AC2507489A5ECB719B5174FA06979A7DE75449E","1","retain durable; review packaging","Scientific output, source, reproducibility or distinct audit provenance; no demonstrated disposable duplicate"
"analysis/paper_ready/stabilization_eta/eta_baseline.m","4464","B85A10B48C7FEE1C043194848A9B242E239CBBF15C170A520A43CEF6DB19243D","1","retain durable; review packaging","Scientific output, source, reproducibility or distinct audit provenance; no demonstrated disposable duplicate"
"analysis/paper_ready/stabilization_eta/eta_case.m","1598","01C9019A9DD73A5646B1BB3C2737159FC31BB33E313871A28FC18485C798C602","1","retain durable; review packaging","Scientific output, source, reproducibility or distinct audit provenance; no demonstrated disposable duplicate"
"analysis/paper_ready/stabilization_eta/eta_convergence.m","1752","9D94A280CB6727670DB3903F4B020C5D8C76054C8B29CDD512C0DB9F2141568D","1","retain durable; review packaging","Scientific output, source, reproducibility or distinct audit provenance; no demonstrated disposable duplicate"
"analysis/paper_ready/stabilization_eta/eta_equations.m","2167","D80D2A7A53AC60D7C81EB5A4D19BDF332855EFD32F668234FC89B7359C8B90B8","1","retain durable; review packaging","Scientific output, source, reproducibility or distinct audit provenance; no demonstrated disposable duplicate"
"analysis/paper_ready/stabilization_eta/eta_load_case.m","855","1479E8B99566938CE08038C6FA7D5D2F34BD2EB9A64899838BF024D887FFC2B3","1","retain durable; review packaging","Scientific output, source, reproducibility or distinct audit provenance; no demonstrated disposable duplicate"
"analysis/paper_ready/stabilization_eta/eta_move.m","2688","687536AF3C416C082C0E6D53F8C7AB4FDBF0176E81DAE8BC904101D90537F9F6","1","retain durable; review packaging","Scientific output, source, reproducibility or distinct audit provenance; no demonstrated disposable duplicate"
"analysis/paper_ready/stabilization_eta/eta_paths.m","769","3EB258E4A980CDE768953DC37A835E593677AA002C7F05F83A284CF52D67D2B7","1","retain durable; review packaging","Scientific output, source, reproducibility or distinct audit provenance; no demonstrated disposable duplicate"
"analysis/paper_ready/stabilization_eta/eta_report.m","9494","6CA1C65B7FF19D948330FECE95F7102E6EE10804B30D8187174C9D4C9740A443","1","retain durable; review packaging","Scientific output, source, reproducibility or distinct audit provenance; no demonstrated disposable duplicate"
"analysis/paper_ready/stabilization_eta/eta_simulate.m","2454","CE7D2B3C6816F76CC3E8219D6499465AAB56948BA5AAB35DBD16355AD74609FE","1","retain durable; review packaging","Scientific output, source, reproducibility or distinct audit provenance; no demonstrated disposable duplicate"
"analysis/paper_ready/stabilization_eta/eta_static.m","656","69E43A4F70272F43D1F8747B7FBC9421817B0D4D831FA15CD97A2438E65988DA","1","retain durable; review packaging","Scientific output, source, reproducibility or distinct audit provenance; no demonstrated disposable duplicate"
"analysis/paper_ready/stabilization_eta/eta_unit.m","1593","12E30640F08A936D0D8AC922640B9A2608544E35C36A9F00C37F5330E3C87E14","1","retain durable; review packaging","Scientific output, source, reproducibility or distinct audit provenance; no demonstrated disposable duplicate"
"artifacts/manifests/paper_ready/prediction/AUDIT.md","2741","6149BE73BB955D80EF6D4AB1FED634F15B908725F004142D44FB4BE4B4585D7C","5","retain durable; review packaging","Scientific output, source, reproducibility or distinct audit provenance; no demonstrated disposable duplicate"
"artifacts/manifests/paper_ready/prediction/BATCH_PREFLIGHT.json","228","77E388A0BBE352C0CF8338FA46D9CE6948C8A8573A185DEE09C41CC81ABD90A2","5","retain durable; review packaging","Scientific output, source, reproducibility or distinct audit provenance; no demonstrated disposable duplicate"
"artifacts/manifests/paper_ready/prediction/FIGURES_primary.json","788","C746C59EBEA8541B67AACEDE7210983F85B6FFE162ED30782FEFED8F5D2F714A","5","retain durable; review packaging","Scientific output, source, reproducibility or distinct audit provenance; no demonstrated disposable duplicate"
"artifacts/manifests/paper_ready/prediction/FIGURES_rrr.json","397","21DE7AE8A4D37920C8DE53D9DE2ECC7C0174EC525CB68B5168AC62E299882049","5","retain durable; review packaging","Scientific output, source, reproducibility or distinct audit provenance; no demonstrated disposable duplicate"
"artifacts/manifests/paper_ready/prediction/FINAL_GIT.json","6021","2AEB38A0FF721D7FBA876F496BB900F802EB7C22B9432B0329B1633A5CC0E351","5","retain durable; review packaging","Scientific output, source, reproducibility or distinct audit provenance; no demonstrated disposable duplicate"
"artifacts/manifests/paper_ready/prediction/final_git.ps1","3322","C3766AE3CF712D23F38E76BDDA51B989B8042D921FA905D55B8453596538F94A","5","retain durable; review packaging","Scientific output, source, reproducibility or distinct audit provenance; no demonstrated disposable duplicate"
"artifacts/manifests/paper_ready/prediction/FIRST_RRR_CASE_AUDIT.json","216","DAECF1F3BE650E6FFB9DE460FE4C2A004164D2662C315D26457FD1A8C1ED97D5","5","retain durable; review packaging","Scientific output, source, reproducibility or distinct audit provenance; no demonstrated disposable duplicate"
"artifacts/manifests/paper_ready/prediction/INPUTS_BEFORE.csv","292129","49C9EE40C934E454E3584E639DC6223A55D89CA29998A3EDA7CAC7268B8CC991","5","retain durable; review packaging","Scientific output, source, reproducibility or distinct audit provenance; no demonstrated disposable duplicate"
"artifacts/manifests/paper_ready/prediction/INVENTORY.csv","43015","8B298DFD9B5EB55F89380B832F5425E2D13A19B84B52419FE05BBBA5B50FFC8D","5","retain durable; review packaging","Scientific output, source, reproducibility or distinct audit provenance; no demonstrated disposable duplicate"
"artifacts/manifests/paper_ready/prediction/INVENTORY.json","283","B315FB783EDA786EFF3AAF789678618DC63329942B54567F4C3AB55D6F78ADBB","5","retain durable; review packaging","Scientific output, source, reproducibility or distinct audit provenance; no demonstrated disposable duplicate"
"artifacts/manifests/paper_ready/prediction/inventory.ps1","2370","5A0F265669DA63F0E07992345616ED47095F952AFCA8EAA782050AF68725538F","5","retain durable; review packaging","Scientific output, source, reproducibility or distinct audit provenance; no demonstrated disposable duplicate"
"artifacts/manifests/paper_ready/prediction/NATIVE_PRIMARY.json","516","BB6F84A12515C754BF90288C0D642D90864DA661A6E5D4035D6F7805260A8825","5","retain durable; review packaging","Scientific output, source, reproducibility or distinct audit provenance; no demonstrated disposable duplicate"
"artifacts/manifests/paper_ready/prediction/NATIVE_RRR.json","265","311A156A4FCCCCD1CD54984F8666A58F1230ED96AC5F750EAFF85E87EEEA12A6","5","retain durable; review packaging","Scientific output, source, reproducibility or distinct audit provenance; no demonstrated disposable duplicate"
"artifacts/manifests/paper_ready/prediction/PREFLIGHT.json","134","D7522D65440948DB06D308FC97D7EB02B9F9BB090B1DD8CF43D0BA6C7972CD5B","5","retain durable; review packaging","Scientific output, source, reproducibility or distinct audit provenance; no demonstrated disposable duplicate"
"artifacts/manifests/paper_ready/prediction/PRESERVATION_FINAL.json","93","A284BB7EDA32B46B88E16E7B69028492A97F105E6821E26DB78DBB859603F2F1","5","retain durable; review packaging","Scientific output, source, reproducibility or distinct audit provenance; no demonstrated disposable duplicate"
"artifacts/manifests/paper_ready/prediction/PRESERVATION.json","93","25DBBE788531B31C05362055555B5D08183D2F63D5252FFE5AC44149A02F5268","5","retain durable; review packaging","Scientific output, source, reproducibility or distinct audit provenance; no demonstrated disposable duplicate"
"artifacts/manifests/paper_ready/prediction/preserve.ps1","1643","4EF62564695F48B00474864D5BE7B2F7A14F63C0D7C01564CCE0BF5FAD572BCA","5","retain durable; review packaging","Scientific output, source, reproducibility or distinct audit provenance; no demonstrated disposable duplicate"
"artifacts/manifests/paper_ready/prediction/PUBLICATION.json","2481","4B447BD8F96E0F71EE325714E4FE339FC76C73AEE074582310630321CF551B6A","5","retain durable; review packaging","Scientific output, source, reproducibility or distinct audit provenance; no demonstrated disposable duplicate"
"artifacts/manifests/paper_ready/prediction/SOURCE_AUDIT.json","1185","16989F8C056A2844368C14BF4052A078AACB05795289A2D221AF6D835E663B4A","5","retain durable; review packaging","Scientific output, source, reproducibility or distinct audit provenance; no demonstrated disposable duplicate"
"artifacts/manifests/paper_ready/prediction/STATIC_ALL.json","265","2D19F5A66BA358C1EFED6D87E519FBF099802CDC8774A3EAD442274D3089D6D3","5","retain durable; review packaging","Scientific output, source, reproducibility or distinct audit provenance; no demonstrated disposable duplicate"
"artifacts/manifests/paper_ready/prediction/STATIC_BATCH_REPAIR.json","79","1997E11DA041429EEFB0CB4F7962F8FB279CD02A399D5E04FBC3193E47D9F977","5","retain durable; review packaging","Scientific output, source, reproducibility or distinct audit provenance; no demonstrated disposable duplicate"
"artifacts/manifests/paper_ready/prediction/STATIC_CURRENT.json","429","1A756B9F6C6C7CEF874D51A2C02CCA6A462D9D85C29F8DB1D14FAE0490FE1CF6","5","retain durable; review packaging","Scientific output, source, reproducibility or distinct audit provenance; no demonstrated disposable duplicate"
"artifacts/manifests/paper_ready/prediction/STATIC_FINAL.json","363","F8332A327A64CEEEC8AF3E4B670FB5830B3DCA9A4E7B96ACDEFCC79CB0E48E7F","5","retain durable; review packaging","Scientific output, source, reproducibility or distinct audit provenance; no demonstrated disposable duplicate"
"artifacts/manifests/paper_ready/prediction/STATIC_READY.json","145","B099321960D0E79F273529DFDAAA84F863D65FA6C15B04B220A889192E7EE3A5","5","retain durable; review packaging","Scientific output, source, reproducibility or distinct audit provenance; no demonstrated disposable duplicate"
"artifacts/manifests/paper_ready/prediction/STATIC_THREAD_REPAIR.json","292","4151A96F865736BE4BA41C7D763522AEC19C1E301843640595635C2B8A5C9258","5","retain durable; review packaging","Scientific output, source, reproducibility or distinct audit provenance; no demonstrated disposable duplicate"
"artifacts/manifests/paper_ready/prediction/STOP_RRR_THREAD.json","262","BA44A8F3E25F25BC1D8F68C64567C3035D4103C7F99FA50069B1C1A61DB75200","5","retain durable; review packaging","Scientific output, source, reproducibility or distinct audit provenance; no demonstrated disposable duplicate"
"artifacts/manifests/paper_ready/prediction/STOP_RRR.json","549","0C5B5DE53EB2FE03B0CA2536136CA3161B4CC16E39730AB21A78EE4FB9273F56","5","retain durable; review packaging","Scientific output, source, reproducibility or distinct audit provenance; no demonstrated disposable duplicate"
"artifacts/manifests/paper_ready/prediction/THREAD_COMPUTE_PREFLIGHT.json","222","E102001CFE59F37B906119547F268F90349D382AF7E889EDC84BB6D1A4755D0D","5","retain durable; review packaging","Scientific output, source, reproducibility or distinct audit provenance; no demonstrated disposable duplicate"
"artifacts/manifests/paper_ready/prediction/THREAD_PREFLIGHT_STOP.json","109","DAEB519C53A26836580EF5D2940B66EC357AD41ACC9A3AD081537089453DA67E","5","retain durable; review packaging","Scientific output, source, reproducibility or distinct audit provenance; no demonstrated disposable duplicate"
"artifacts/manifests/paper_ready/stabilization_eta/analysis.log","1255","F1F21CD2889125023A449D51C0C667FFE15E2FCB8693E154664E02CDBBEE06C7","5","retain durable; review packaging","Scientific output, source, reproducibility or distinct audit provenance; no demonstrated disposable duplicate"
"artifacts/manifests/paper_ready/stabilization_eta/FIGURES.json","1311","02AC3C73A49FA61C1787D1DEA14289CDA8B3C3195D569C1701035973195D9CC3","5","retain durable; review packaging","Scientific output, source, reproducibility or distinct audit provenance; no demonstrated disposable duplicate"
"artifacts/manifests/paper_ready/stabilization_eta/FINAL_GIT.json","1082","017C084C7EA641EF4E5AA58B26EF49ECFEA533F4A1A2D65BF252A33193C4C9A0","5","retain durable; review packaging","Scientific output, source, reproducibility or distinct audit provenance; no demonstrated disposable duplicate"
"artifacts/manifests/paper_ready/stabilization_eta/final_inventory.ps1","3650","B8891D000D10EECF19B9C3E53D046C05F12042F19AD357A767186FDDF25F4F66","5","retain durable; review packaging","Scientific output, source, reproducibility or distinct audit provenance; no demonstrated disposable duplicate"
"artifacts/manifests/paper_ready/stabilization_eta/NOTION_PUBLICATION.json","1100","554125947F091C488708D89B4212DC2A717621A95C9E3623C36B5ECFBE726B5C","5","retain durable; review packaging","Scientific output, source, reproducibility or distinct audit provenance; no demonstrated disposable duplicate"
"artifacts/manifests/paper_ready/stabilization_eta/OUTPUT_INVENTORY.csv","37712","84DBBD75E6EE41EC67F5852D3BA6B90A109ECB4474486802669B0659DA3AABD5","5","retain durable; review packaging","Scientific output, source, reproducibility or distinct audit provenance; no demonstrated disposable duplicate"
"artifacts/manifests/paper_ready/stabilization_eta/OUTPUT_INVENTORY.json","331","4F5307936D62392DAD814AE9BB7DC2587CB8E9FB7C26AAEB27E0CABF9BB692FE","5","retain durable; review packaging","Scientific output, source, reproducibility or distinct audit provenance; no demonstrated disposable duplicate"
"artifacts/manifests/paper_ready/stabilization_eta/PRESERVATION_PREFLIGHT.json","1494","9FD1140D2F173B883425B51086129B1F064BF08B91CF8535EA8F420F700D8FEF","5","retain durable; review packaging","Scientific output, source, reproducibility or distinct audit provenance; no demonstrated disposable duplicate"
"artifacts/manifests/paper_ready/stabilization_eta/PRODUCTION_STATIC.json","2056","133B674F044D92C131E16FBD56B875881D95A447E0FF61844DAB16713926A911","5","retain durable; review packaging","Scientific output, source, reproducibility or distinct audit provenance; no demonstrated disposable duplicate"
"artifacts/manifests/paper_ready/stabilization_eta/production.log","412","F83CA6F540FE506FACF3573FD7D89879FFBC6664B6A3D4357204AB5EEF780388","5","retain durable; review packaging","Scientific output, source, reproducibility or distinct audit provenance; no demonstrated disposable duplicate"
"artifacts/manifests/paper_ready/stabilization_eta/RESUME_INPUTS.csv","321941","C4C9A41544A3493F315A1EC74B6830C0CD9C11D6B41E4B24504463A2D8D058CC","5","retain durable; review packaging","Scientific output, source, reproducibility or distinct audit provenance; no demonstrated disposable duplicate"
"artifacts/manifests/paper_ready/stabilization_eta/RESUME_INVENTORY.json","155","D9F8C3E52B42F96F6A525F00A6FDF56D32AC670F65EF80C2B9C95CF79C07206B","5","retain durable; review packaging","Scientific output, source, reproducibility or distinct audit provenance; no demonstrated disposable duplicate"
"artifacts/manifests/paper_ready/stabilization_eta/resume_preserve.ps1","2425","7A5B399860545FF203E066D2F0527745A726479D8F293C423350289B42B1EE1D","5","retain durable; review packaging","Scientific output, source, reproducibility or distinct audit provenance; no demonstrated disposable duplicate"
"artifacts/manifests/paper_ready/stabilization_eta/start_analysis.ps1","711","760351DF964CBB699E2DFCD39424771C747359220148594FAFEC3F93F808CF14","5","retain durable; review packaging","Scientific output, source, reproducibility or distinct audit provenance; no demonstrated disposable duplicate"
"artifacts/manifests/paper_ready/stabilization_eta/start_preflight.ps1","2026","52460CF1EBB253BA230E5B2DCC78DFA4EF2C5A6E30AD129AEAB32F666F9D7FDD","5","retain durable; review packaging","Scientific output, source, reproducibility or distinct audit provenance; no demonstrated disposable duplicate"
"artifacts/manifests/paper_ready/stabilization_eta/start_production.ps1","659","5AC05394E871DA6512BFF930CEDA01791927C59646FDB18052278B99C8C38957","5","retain durable; review packaging","Scientific output, source, reproducibility or distinct audit provenance; no demonstrated disposable duplicate"
"artifacts/manifests/paper_ready/stabilization_eta/STATIC_MESSAGES.json","696","0D8015A2CE0DAEDF82600AA8A66A6DC180CF2A34A18135680BE0FFFD6301F4F5","5","retain durable; review packaging","Scientific output, source, reproducibility or distinct audit provenance; no demonstrated disposable duplicate"
"artifacts/manifests/paper_ready/stabilization_eta/STATIC_PREFLIGHT.json","104","6F79F08E4EC5D434C1973724EA10629B0A9AED19DA595A3B6DD1003E9598CDCC","5","retain durable; review packaging","Scientific output, source, reproducibility or distinct audit provenance; no demonstrated disposable duplicate"
"docs/paper_ready/prediction/EXECUTION_RECOVERY.md","3528","D746266357E3C7DA0EA39432866E410964464DF076B316C3E3E3F44D791A0AE5","3","retain durable; review packaging","Scientific output, source, reproducibility or distinct audit provenance; no demonstrated disposable duplicate"
"docs/paper_ready/prediction/FIGURE_LEGENDS.md","5057","046F7B52DABCE393ACCAF175A96EE0ACED2438370686929CC476EAF79F600599","3","retain durable; review packaging","Scientific output, source, reproducibility or distinct audit provenance; no demonstrated disposable duplicate"
"docs/paper_ready/prediction/PANEL_SOURCES.md","3008","6F476CDA73DB56A5132B135571597426F694893FA237D615385CD4076F38E3E9","3","retain durable; review packaging","Scientific output, source, reproducibility or distinct audit provenance; no demonstrated disposable duplicate"
"docs/paper_ready/prediction/PLAN.md","7342","0A95FCA1BFE9A7053F9BE2C66D86ACA1729F7290739187ED3302F630CA22DC2E","3","retain durable; review packaging","Scientific output, source, reproducibility or distinct audit provenance; no demonstrated disposable duplicate"
"docs/paper_ready/prediction/PRIMARY_RESULTS.md","9453","EDE583027ED31DDE2E4E8247AAB14E1C31719317BF500C9CB02C0B2923DA84C8","3","retain durable; review packaging","Scientific output, source, reproducibility or distinct audit provenance; no demonstrated disposable duplicate"
"docs/paper_ready/prediction/README.md","2779","2D1DC9B0694120E3FBAA22DB29599FAF34BBCD5D8F4E1407E22D446369E72129","3","retain durable; review packaging","Scientific output, source, reproducibility or distinct audit provenance; no demonstrated disposable duplicate"
"docs/paper_ready/prediction/RESULTS.md","12789","4F98D700A94FA0DDFE803DA8C7267A803BE87F08B84D30BB146776A7FDC91B87","3","retain durable; review packaging","Scientific output, source, reproducibility or distinct audit provenance; no demonstrated disposable duplicate"
"docs/paper_ready/prediction/RRR_DERIVATION.md","4171","995E361AC768EA1D0C48D253C97DDD4A8710AE6C4100D4256FD7085B9A54A60B","3","retain durable; review packaging","Scientific output, source, reproducibility or distinct audit provenance; no demonstrated disposable duplicate"
"docs/paper_ready/stabilization_eta/BASELINE_REPORT.md","5491","BFAC5EDB75AD3627EAE96418AFD0AB8B1966C2D9254CE679695F7D1F840DAB84","3","retain durable; review packaging","Scientific output, source, reproducibility or distinct audit provenance; no demonstrated disposable duplicate"
"docs/paper_ready/stabilization_eta/CAPTIONS.md","7383","4A45442BE882C1784B63742A1C8351B5E11F7BD8672A5E6FEEF2327CC9492FE8","3","retain durable; review packaging","Scientific output, source, reproducibility or distinct audit provenance; no demonstrated disposable duplicate"
"docs/paper_ready/stabilization_eta/COMPLETION.md","3126","8010EC29EF1C77CD957ADC2265AD0DBC2D2FCDFB318399CE2FBDC477598E1D0C","3","retain durable; review packaging","Scientific output, source, reproducibility or distinct audit provenance; no demonstrated disposable duplicate"
"docs/paper_ready/stabilization_eta/INTERPRETATION.md","4021","1297722956ABF5CFBC9C99003B77F64244F413A5E1C7A84E0557FFBC3DD35CDC","3","retain durable; review packaging","Scientific output, source, reproducibility or distinct audit provenance; no demonstrated disposable duplicate"
"docs/paper_ready/stabilization_eta/NOTION_CONTRACT.md","11491","4E5C709D85822F19AA480960638D3E563C18A47FD1FB9DA3B8678A54F632D3B7","3","retain durable; review packaging","Scientific output, source, reproducibility or distinct audit provenance; no demonstrated disposable duplicate"
"docs/paper_ready/stabilization_eta/PREFLIGHT_STOP.md","5678","14C1D859A5D87AFCA8FB298F1C16C17954A26CD27C9A0C7989EFB4E49C7F3C40","3","retain durable; review packaging","Scientific output, source, reproducibility or distinct audit provenance; no demonstrated disposable duplicate"
"docs/paper_ready/stabilization_eta/PRODUCTION_PLAN.md","3144","CBBF2388098B2F95A76DAC822DFCA2335DCEC8C41E913ED36753CD44AAFD17C2","3","retain durable; review packaging","Scientific output, source, reproducibility or distinct audit provenance; no demonstrated disposable duplicate"
"docs/paper_ready/stabilization_eta/REPORT.md","10977","B5BCC935203AB25358E86562BEEAFB4DDF9E51224F62470A26D3C8F12E4E3478","3","retain durable; review packaging","Scientific output, source, reproducibility or distinct audit provenance; no demonstrated disposable duplicate"
"docs/paper_ready/stabilization_eta/RESUME_PLAN.md","3615","0D49A349AF7B9A72593C908B5AA47CE172766D13DED0A43F2AC6014D21A63F58","3","retain durable; review packaging","Scientific output, source, reproducibility or distinct audit provenance; no demonstrated disposable duplicate"
"figures/paper_ready/prediction/pe_figures.m","7846","9922FE67C263D697088188D90471EBAB1D9B87A84FFC712A56C38CA41662C43B","1","retain durable; review packaging","Scientific output, source, reproducibility or distinct audit provenance; no demonstrated disposable duplicate"
"figures/paper_ready/stabilization_eta/eta_figures.m","9837","540DBFEAA93E015B6E52705811061012DFCD8A7BB7504FAA34FA0C875F0D93EB","1","retain durable; review packaging","Scientific output, source, reproducibility or distinct audit provenance; no demonstrated disposable duplicate"
"plots/paper_ready/prediction/fig/extended_data_rrr.fig","64799","F7BB58FD6BAC29334AD72FB9E5D84CEAA3A919873B792CCDD9341A6DB8E3C8C8","4","retain durable; review packaging","Scientific output, source, reproducibility or distinct audit provenance; no demonstrated disposable duplicate"
"plots/paper_ready/prediction/fig/panel_e_controls.fig","48905","712E80B7D81AE6287F0DFF8651273CDF8C9C6B3274C9A2FE37020753A8600228","4","retain durable; review packaging","Scientific output, source, reproducibility or distinct audit provenance; no demonstrated disposable duplicate"
"plots/paper_ready/prediction/fig/panel_e_pca_ridge.fig","12837","1D78DCF5B6FD584BA395EE463C548FB663D03139F661280B6FCB0E1F66FF3721","4","retain durable; review packaging","Scientific output, source, reproducibility or distinct audit provenance; no demonstrated disposable duplicate"
"plots/paper_ready/prediction/png/extended_data_rrr.png","248228","16F0CD2BDD5CA76807B003C4883F244BA9E95D2BEC07C3BD029FD3B71BFACFE7","4","retain durable; review packaging","Scientific output, source, reproducibility or distinct audit provenance; no demonstrated disposable duplicate"
"plots/paper_ready/prediction/png/panel_e_controls.png","180893","97453A92E6B32BBE27741790B2A2FF66FE0C1022CB48C8DD38DC7E4FCEF04202","4","retain durable; review packaging","Scientific output, source, reproducibility or distinct audit provenance; no demonstrated disposable duplicate"
"plots/paper_ready/prediction/png/panel_e_pca_ridge.png","104904","432CD254C6DD84CD986618135735E736207C9E2C3FDB756B46FB3E64CC7A6CC4","4","retain durable; review packaging","Scientific output, source, reproducibility or distinct audit provenance; no demonstrated disposable duplicate"
"plots/paper_ready/stabilization_eta/fig/stabilization_eta_kinematics.fig","44854137","CF0AA86A1B8F46DE3CCE0CDE5AAFA171B6A34608E23EFBFE5C2C17AF61FC1470","4","retain durable; review packaging","Scientific output, source, reproducibility or distinct audit provenance; no demonstrated disposable duplicate"
"plots/paper_ready/stabilization_eta/fig/stabilization_eta_movement_qc.fig","92947","BE6EA0274CFCACBE4043B883EC748EF455E2E10965F2906E011D2190C157D2C9","4","retain durable; review packaging","Scientific output, source, reproducibility or distinct audit provenance; no demonstrated disposable duplicate"
"plots/paper_ready/stabilization_eta/fig/stabilization_eta_six_panel.fig","80928","A448AD2E8BA9FD247074E96AE0AD1F08FDB035737ED094843ED69140923E3327","4","retain durable; review packaging","Scientific output, source, reproducibility or distinct audit provenance; no demonstrated disposable duplicate"
"plots/paper_ready/stabilization_eta/png/stabilization_eta_kinematics.png","1953343","929CAF35734184163DCFF6FED04B046E2190F36D53C7AFB7B0E263D7A3AC895A","4","retain durable; review packaging","Scientific output, source, reproducibility or distinct audit provenance; no demonstrated disposable duplicate"
"plots/paper_ready/stabilization_eta/png/stabilization_eta_movement_qc.png","459997","4E726B3A3FE658819DDFD32D4B126E2AB2052E91CD1E3DCFB4E6614B397C6C09","4","retain durable; review packaging","Scientific output, source, reproducibility or distinct audit provenance; no demonstrated disposable duplicate"
"plots/paper_ready/stabilization_eta/png/stabilization_eta_six_panel.png","498436","4BAA74AFA6DC876E729C00F217133BC87C6B6408292B3CE7D3B2839E5DBF9F2F","4","retain durable; review packaging","Scientific output, source, reproducibility or distinct audit provenance; no demonstrated disposable duplicate"
"results/paper_ready/cache/prediction/matched_n01.mat","56331","48E8F0CF6F74C580FCF668A2EBD8CBAB7F0B8AD04F5A80C64DBBF7EC92F3207C","6","retain ignored/local","Scientific output, source, reproducibility or distinct audit provenance; no demonstrated disposable duplicate"
"results/paper_ready/cache/prediction/matched_n02.mat","56338","BE294EF52B7314DD6F42B7561CF3D40F0B7459C665450216D75EF5649C686F30","6","retain ignored/local","Scientific output, source, reproducibility or distinct audit provenance; no demonstrated disposable duplicate"
