Attempt,AcceptedMember,RecurrentSeed,CalibrationSeed,Target,DesiredAngleDeg,ActualAngleDeg,AngularErrorDeg,DesiredRadiusM,ActualRadiusM,RadiusErrorM,EndpointErrorM,HandTrajectoryRmseM,TorqueRmse,Pass
7,7,2026083116,2026084116,6,135,135.455676914049,0.455676914049008,0.1,0.101031742412571,0.00103174241257106,0.00131265680735231,0.000588835089253546,0.0166630108112589,1
7,7,2026083116,2026084116,7,180,180.002731778545,0.00273177854469964,0.1,0.101118122428672,0.00111812242867181,0.00112758844365857,0.000445152668844273,0.0189751608651063,1
7,7,2026083116,2026084116,8,225,226.806437782142,1.80643778214232,0.1,0.100322294041498,0.000322294041497889,0.00317500471743207,0.00138277744193888,0.0210217414643337,1
8,8,2026083117,2026084117,1,270,269.652682249946,-0.347317750053946,0.1,0.100577750080924,0.000577750080923867,0.00084519614483078,0.000469510770168273,0.0115964392884068,1
8,8,2026083117,2026084117,2,315,315.061250238197,0.0612502381970899,0.1,0.1005764508316,0.000576450831600447,0.000595633611090626,0.000266453334487997,0.0130152562802635,1
8,8,2026083117,2026084117,3,0,0.739516995119584,0.739516995119573,0.1,0.100688490816272,0.000688490816272008,0.00147116463878704,0.000473481235916816,0.0159165717692561,1
8,8,2026083117,2026084117,4,45,46.4125276845207,1.41252768452068,0.1,0.101037624194233,0.00103762419423326,0.00269005235638447,0.000936464207035551,0.0119661997737942,1
8,8,2026083117,2026084117,5,90,90.0559349281721,0.0559349281720642,0.1,0.100776602302626,0.000776602302626064,0.000792143356688842,0.000471027681850593,0.0116820545717593,1
8,8,2026083117,2026084117,6,135,134.577856287764,-0.422143712235965,0.1,0.100459941897277,0.000459941897277188,0.00087499793393402,0.000385796215419308,0.0150860408906127,1
8,8,2026083117,2026084117,7,180,180.216686126208,0.216686126208032,0.1,0.101449726465041,0.00144972646504096,0.00150807798043644,0.000659143535386296,0.0148699409925534,1
8,8,2026083117,2026084117,8,225,226.190143030274,1.19014303027384,0.1,0.101967694216535,0.0019676942165347,0.00288239014732757,0.00127914973815357,0.0219881575332204,1
9,9,2026083118,2026084118,1,270,269.734911100723,-0.265088899276861,0.1,0.100424627551295,0.000424627551295159,0.000635120272371135,0.000249523381972818,0.0116343803176519,1
9,9,2026083118,2026084118,2,315,315.130718272725,0.130718272725005,0.1,0.101846810429986,0.0018468104299859,0.00187048962502983,0.000621949413823093,0.0142887462806755,1
9,9,2026083118,2026084118,3,0,0.590325394946133,0.59032539494612,0.1,0.101218665265979,0.00121866526597887,0.00160706258457575,0.000593949486312199,0.0139992166624647,1
9,9,2026083118,2026084118,4,45,45.898414275185,0.89841427518499,0.1,0.0993084199040232,-0.000691580095976807,0.00170491134369303,0.000741417599593163,0.0145463146004173,1
9,9,2026083118,2026084118,5,90,88.8943750733741,-1.10562492662592,0.1,0.100377522982756,0.000377522982756201,0.00197154861733587,0.000869005419864223,0.0119229881434512,1
9,9,2026083118,2026084118,6,135,134.976285535356,-0.0237144646441436,0.1,0.100591268232571,0.000591268232571038,0.000602156501101533,0.000275600165110371,0.0176887191879135,1
9,9,2026083118,2026084118,7,180,180.314007197228,0.314007197227852,0.1,0.10078951158802,0.00078951158802025,0.00097007485963649,0.000474584816361504,0.0186432807748403,1
9,9,2026083118,2026084118,8,225,226.495888323994,1.49588832399397,0.1,0.100889014649584,0.000889014649584116,0.00277185418915038,0.0011822807280557,0.0248147224666134,1
10,10,2026083119,2026084119,1,270,268.68354558983,-1.31645441016985,0.1,0.101641966124327,0.0016419661243271,0.00284469898146978,0.00119482720699853,0.01272834159769,1
10,10,2026083119,2026084119,2,315,314.598436611447,-0.4015633885532,0.1,0.0989558903089942,-0.00104410969100582,0.0012476125814636,0.000658349067567039,0.0142208479386031,1
10,10,2026083119,2026084119,3,0,0.699582534131546,0.699582534131537,0.1,0.0976821491309103,-0.00231785086908969,0.00260476906109285,0.00108295108262565,0.0198023310727551,1
10,10,2026083119,2026084119,4,45,45.4211952970935,0.421195297093476,0.1,0.0989974114626871,-0.00100258853731293,0.00123338944104769,0.000590450131207463,0.0156031754378917,1
10,10,2026083119,2026084119,5,90,89.7874708953038,-0.212529104696188,0.1,0.101278652501424,0.00127865250142357,0.00134110421741564,0.000685295859579995,0.0105799703502874,1
10,10,2026083119,2026084119,6,135,133.765162680515,-1.23483731948463,0.1,0.0973473098040991,-0.00265269019590086,0.00339230722261706,0.00141764879261662,0.0146901765763577,1
10,10,2026083119,2026084119,7,180,181.389902508215,1.38990250821519,0.1,0.100562329416175,0.00056232941617522,0.0024987732082096,0.000880505356209691,0.0131960045440503,1
10,10,2026083119,2026084119,8,225,226.457934954712,1.45793495471241,0.1,0.102557746491696,0.00255774649169624,0.00363730971888357,0.00142322218881803,0.025364426080773,1
